factor,n,ic_mean,ic_std,ic_ir,t_stat,p_value,pct_positive,p_value_bh,significant_bh,pct_consistent_dir,effective
analyst_rating_chg,106,0.0067,0.0524,0.1285,1.3228,0.188787,0.5283,0.23483260975609757,False,0.5283,False
rsi_6,106,-0.0123,0.097,-0.1267,-1.3046,0.194876,0.5,0.23663514285714285,False,0.5,False
ind_adj_mom,106,0.0145,0.1161,0.1246,1.2829,0.202338,0.5566,0.23998227906976743,False,0.5566,False
float_pct_30d,106,-0.0094,0.0852,-0.1106,-1.1382,0.257612,0.4623,0.29859572727272726,False,0.5377000000000001,False
mom_consistency_6,106,0.0061,0.0742,0.0822,0.8464,0.399231,0.5472,0.4524618,False,0.5472,False
mom_risk_adj,106,0.0066,0.106,0.0625,0.6431,0.521537,0.5566,0.5782258043478261,False,0.5566,False
high_52w,106,0.0077,0.1441,0.0537,0.5527,0.581646,0.566,0.6311477872340426,False,0.566,False
insider_net_buy,106,0.0031,0.0668,0.0465,0.4792,0.632807,0.5,0.6723574375,False,0.5,False
mom_6_1,106,0.0045,0.1061,0.0423,0.4355,0.664071,0.5472,0.69024726,False,0.5472,False
ind_adj_mom_6_1,106,0.0042,0.1041,0.0406,0.4181,0.676713,0.5566,0.69024726,False,0.5566,False
large_net_inflow,106,0.0017,0.0828,0.02,0.2062,0.837068,0.5283,0.837068,False,0.5283,False
